log,model,method,accuracy,f1,training_time_seconds,testing_time_seconds
BPIC15_1,GNN,nap,0.188366,0.171663,340.8,0.77
BPIC15_2,GNN,nap,0.218993,0.186908,245.23,0.58
BPIC15_3,GNN,nap,0.226664,0.224732,263.78,0.85
BPIC15_4,GNN,nap,0.25167,0.238602,219.78,0.62
BPIC15_5,GNN,nap,0.260293,0.234212,429.81,0.8
RequestForPayment,GNN,nap,0.883508,0.835736,114.56,0.45
Sepsis,GNN,nap,0.657625,0.645862,68.36,0.21
Hospital_Billing,GNN,nap,0.802426,0.780668,1386.44,3.71
DomesticDeclarations,GNN,nap,0.892753,0.847315,108.34,0.7
PrepaidTravelCost,GNN,nap,0.847522,0.81974,67.28,0.26
InternationalDeclarations,GNN,nap,0.89029,0.857868,108.76,0.99
Road_Traffic_Fine_Management_Process,GNN,nap,0.789452,0.720365,1002.12,5.45
BPI_Challenge_2012_A,GNN,nap,0.72127,0.675514,104.81,0.66
BPI_Challenge_2012_O,GNN,nap,0.855679,0.83375,75.72,0.36
BPI_Challenge_2012_W,GNN,nap,0.897448,0.896094,542.32,2.29
BPI Challenge 2017,GNN,nap,0.874066,0.857057,23485.38,61.44
