log,model,method,accuracy,f1,mae_time,acc_conc,training_time_seconds,testing_time_seconds
BPIC15_2,GRU,nap,0.242535,0.229479,2.940328,0.829116,249.74,1.58
Sepsis,GRU,nap,0.670732,0.664195,1.641025,0.943796,266.26,2.01
BPIC15_1,GRU,nap,0.193138,0.183373,3.018618,0.733171,327.13,2.23
BPIC15_5,GRU,nap,0.315152,0.299865,2.586938,0.83385,363.84,1.95
BPIC15_4,GRU,nap,0.320544,0.310506,2.947697,0.828349,382.86,1.96
BPIC15_3,GRU,nap,0.29059,0.285113,3.122742,0.75626,452.03,2.48
PrepaidTravelCost,GRU,nap,0.862938,0.833463,1.523404,0.996927,478.01,3.58
BPI_Challenge_2012_O,GRU,nap,0.8324,0.810146,0.922133,0.995098,607.79,11.48
InternationalDeclarations,GRU,nap,0.877774,0.843078,1.587467,0.994397,733.42,13.92
RequestForPayment,GRU,nap,0.881224,0.832856,1.43343,0.998846,1386.24,10.34
DomesticDeclarations,GRU,nap,0.892817,0.847268,1.547897,1.0,1707.69,15.36
BPI_Challenge_2012_A,GRU,nap,0.705131,0.662969,1.145097,0.985817,2274.68,25.97
BPI_Challenge_2012_W,GRU,nap,0.910911,0.910059,1.645416,0.99998,2810.92,17.45
BPI Challenge 2017,GRU,nap,0.884762,0.87297,1.033243,1.0,9350.5,33.62
Hospital_Billing,GRU,nap,0.810163,0.800833,2.205354,0.999778,9978.37,71.27
Road_Traffic_Fine_Management_Process,GRU,nap,0.833177,0.774486,1.232485,0.978173,13006.28,102.71
