log,model,method,accuracy,f1,layer_recall_0,layer_recall_1,training_time_seconds,testing_time_seconds
Sepsis,GNN,nap_layer,0.652704,0.647672,0.883082,0.934166,885.97,13.86
BPI_Challenge_2012_O,GNN,nap_layer,0.830999,0.809217,1.0,0.994692,1376.46,30.47
RequestForPayment,GNN,nap_layer,0.880681,0.831801,0.0,1.0,1967.05,24.93
PrepaidTravelCost,GNN,nap_layer,0.863962,0.833517,0.736842,0.999177,2502.84,14.8
BPI_Challenge_2012_A,GNN,nap_layer,0.79201,0.747157,1.0,0.982333,2738.64,39.18
DomesticDeclarations,GNN,nap_layer,0.892911,0.848182,0.0,1.0,3750.57,30.25
InternationalDeclarations,GNN,nap_layer,0.87885,0.845292,0.0,1.0,5866.99,85.67
BPIC15_2,GNN,nap_layer,0.265669,0.249624,0.83514,0.690476,6711.06,29.26
BPIC15_5,GNN,nap_layer,0.312561,0.292996,0.951057,0.620198,8649.72,20.42
BPIC15_1,GNN,nap_layer,0.197225,0.186123,0.853366,0.600983,10114.28,13.29
BPIC15_3,GNN,nap_layer,0.288635,0.275416,0.826149,0.591871,10149.02,12.62
BPIC15_4,GNN,nap_layer,0.360918,0.339179,0.923563,0.691551,10202.59,7.61
Hospital_Billing,GNN,nap_layer,0.802053,0.785899,0.0,1.0,11820.26,49.42
BPI_Challenge_2012_W,GNN,nap_layer,0.901358,0.900397,0.0,1.0,12031.06,19.65
Road_Traffic_Fine_Management_Process,GNN,nap_layer,0.833268,0.774933,0.241863,0.999494,23187.29,72.03
BPI Challenge 2017,GNN,nap_layer,0.858878,0.842317,0.0,1.0,28478.16,27.79
