log,model,method,exact_match,f1_set,exact_match_single,f1_set_single,n_single,exact_match_multi,f1_set_multi,n_multi,training_time_seconds,testing_time_seconds
RequestForPayment,GNN,nap_multiple,0.881245,0.882009,0.882256,0.882256,6098,0.0,0.666667,7,101.93,0.73
Sepsis,GNN,nap_multiple,0.662262,0.731959,0.592846,0.658295,1314,0.820069,0.899423,578,98.18,0.38
Hospital_Billing,GNN,nap_multiple,0.800148,0.800187,0.800195,0.800195,51235,0.0,0.666667,3,1021.12,7.33
DomesticDeclarations,GNN,nap_multiple,0.892962,0.892962,0.892962,0.892962,9576,0.0,0.0,0,296.67,1.21
PrepaidTravelCost,GNN,nap_multiple,0.827377,0.829717,0.83109,0.831303,3120,0.0,0.47619,14,54.92,0.48
InternationalDeclarations,GNN,nap_multiple,0.882982,0.886036,0.888864,0.889011,13659,0.0,0.43956,91,163.06,1.82
BPI_Challenge_2012_A,GNN,nap_multiple,0.746108,0.763424,0.769155,0.769155,8105,0.248,0.639556,375,134.85,0.9
BPI_Challenge_2012_O,GNN,nap_multiple,0.845324,0.845324,0.91373,0.91373,4115,0.0,0.0,333,154.0,0.53
BPI_Challenge_2012_W,GNN,nap_multiple,0.897209,0.897344,0.897239,0.897351,29700,0.0,0.666667,1,506.6,2.24
BPIC15_1,GNN,nap_multiple,0.0,0.028038,0.0,0.0,482,0.0,0.041927,973,189.2,0.15
BPIC15_2,GNN,nap_multiple,0.0,0.001293,0.0,0.001199,556,0.0,0.001377,623,100.02,0.12
BPIC15_3,GNN,nap_multiple,0.0,0.002976,0.0,0.0,803,0.0,0.005122,1114,217.26,0.2
BPIC15_4,GNN,nap_multiple,0.0,0.024556,0.0,0.0,530,0.0,0.042631,720,72.25,0.13
BPIC15_5,GNN,nap_multiple,0.001358,0.054448,0.003044,0.003653,657,0.0,0.095345,816,45.9,0.16
Road_Traffic_Fine_Management_Process,GNN,nap_multiple,0.795445,0.798223,0.798806,0.798806,73372,0.0,0.660215,310,1046.08,5.71
