log,model,method,accuracy,f1,time_mae,training_time_seconds,testing_time_seconds
RequestForPayment,GNN_time,nap_time,0.882363,0.833158,0.977927,455.22,2.29
Sepsis,GNN_time,nap_time,0.645894,0.618944,0.724701,951.3,1.51
Hospital_Billing,GNN_time,nap_time,0.806852,0.789959,0.654483,2034.44,5.92
DomesticDeclarations,GNN_time,nap_time,0.893066,0.847589,0.810205,200.8,1.13
PrepaidTravelCost,GNN_time,nap_time,0.844981,0.816394,0.617979,98.6,0.37
InternationalDeclarations,GNN_time,nap_time,0.889281,0.856833,0.486263,237.68,1.64
BPI_Challenge_2012_A,GNN_time,nap_time,0.72127,0.675514,0.471944,108.26,1.07
BPI_Challenge_2012_O,GNN_time,nap_time,0.856097,0.834076,0.516128,100.56,0.56
BPI_Challenge_2012_W,GNN_time,nap_time,0.896573,0.895257,0.982096,941.63,3.59
BPIC15_1,GNN_time,nap_time,0.144766,0.134895,0.711045,364.84,1.24
BPIC15_2,GNN_time,nap_time,0.167171,0.150877,0.647271,199.6,0.91
BPIC15_3,GNN_time,nap_time,0.187597,0.178949,0.767036,351.73,1.34
BPIC15_4,GNN_time,nap_time,0.201188,0.155279,0.404557,211.58,0.97
BPIC15_5,GNN_time,nap_time,0.20265,0.176532,0.676917,699.52,1.31
Road_Traffic_Fine_Management_Process,GNN_time,nap_time,0.789295,0.719875,0.631646,954.89,8.81
