log,model,method,dl_similarity,dt_mae_minutes,rrt_mae_minutes,conc_accuracy,next_act_accuracy,next_act_f1_weighted,conc_n_samples,conc_dl_similarity,conc_dt_mae_minutes,conc_rrt_mae_minutes,conc_conc_accuracy,conc_next_act_accuracy,conc_next_act_f1_weighted,training_time_seconds,testing_time_seconds,num_trainable_params
PrepaidTravelCost,gru_encoder_gru_decoder,gru_suffix,0.91241,3910.211719,9362.123958,0.994605,0.883695,0.865645,17,0.931373,2860.577865,4895.245833,1.0,0.823529,0.848297,1074.09,7.94,156354
Sepsis,gru_encoder_gru_decoder,gru_suffix,0.490539,4030.409115,32314.135417,0.686065,0.650429,0.646421,794,0.43035,5206.856771,39409.454167,0.668675,0.610831,0.59666,1233.58,5.93,154285
BPI_Challenge_2012_O,gru_encoder_gru_decoder,gru_suffix,0.730207,3302.85625,8654.049479,0.919647,0.821739,0.808174,411,0.765697,1993.997786,8640.242188,0.948214,1.0,1.0,1404.23,10.83,152830
RequestForPayment,gru_encoder_gru_decoder,gru_suffix,0.937961,3640.560417,6983.507292,0.998311,0.897902,0.863008,8,1.0,1645.857031,1645.857031,1.0,1.0,1.0,1863.19,10.96,154285
BPIC15_4,gru_encoder_gru_decoder,gru_suffix,0.193142,5775.314062,152173.616667,0.547483,0.172167,0.174674,7332,0.185874,6023.1875,163323.85,0.553511,0.158074,0.158529,2826.04,21.92,210574
BPIC15_2,gru_encoder_gru_decoder,gru_suffix,0.17556,4408.694271,103558.058333,0.493732,0.117347,0.107737,7627,0.161641,4466.489062,107940.166667,0.497641,0.09545,0.084333,2969.86,26.99,214638
BPIC15_1,gru_encoder_gru_decoder,gru_suffix,0.161027,3165.240365,63209.8,0.416374,0.070164,0.065282,9923,0.156936,3218.914583,65692.120833,0.440228,0.05714,0.05034,3120.56,22.5,216702
InternationalDeclarations,gru_encoder_gru_decoder,gru_suffix,0.915965,5398.357813,18481.2125,0.996049,0.906573,0.88184,131,0.92774,4629.038021,21449.664583,1.0,0.900763,0.861737,3446.49,22.3,157014
BPIC15_3,gru_encoder_gru_decoder,gru_suffix,0.170666,1856.631641,40904.341667,0.387029,0.125843,0.121402,10616,0.163978,1926.84987,42316.408333,0.391368,0.104653,0.095993,3493.91,21.15,215670
BPI_Challenge_2012_A,gru_encoder_gru_decoder,gru_suffix,0.738186,2544.226562,5567.969792,0.942047,0.770101,0.751682,1071,1.0,0.001119,0.000506,0.880165,1.0,1.0,3537.59,8.02,153309
DomesticDeclarations,gru_encoder_gru_decoder,gru_suffix,0.952679,3078.064844,6095.463021,1.0,0.910673,0.88003,0,,,,,,,3563.34,4.54,154285
BPIC15_5,gru_encoder_gru_decoder,gru_suffix,0.159731,2789.32474,65612.420833,0.688076,0.154886,0.145183,9966,0.155775,2825.107031,68110.3625,0.696993,0.141381,0.126844,3564.96,20.02,213366
Road_Traffic_Fine_Management_Process,gru_encoder_gru_decoder,gru_suffix,0.798213,214725.333333,319095.966667,0.980387,0.811867,0.766918,2679,0.939735,247947.766667,272706.316667,0.978481,0.969765,0.962116,7568.05,15.09,153444
Hospital_Billing,gru_encoder_gru_decoder,gru_suffix,0.853257,23880.76875,41111.933333,0.99976,0.803875,0.808954,18,0.934127,56803.808333,97828.116667,0.935484,1.0,1.0,8517.5,12.62,154559
BPI_Challenge_2012_W,gru_encoder_gru_decoder,gru_suffix,0.336608,1039.438021,12675.711458,0.999964,0.854868,0.849999,14,0.23007,201.6389,5357.791667,0.995215,1.0,1.0,23799.96,17.33,152830
