log,model,method,dl_similarity,dt_mae_minutes,rrt_mae_minutes,conc_accuracy,next_act_accuracy,next_act_f1_weighted,conc_n_samples,conc_dl_similarity,conc_dt_mae_minutes,conc_rrt_mae_minutes,conc_conc_accuracy,conc_next_act_accuracy,conc_next_act_f1_weighted,training_time_seconds,testing_time_seconds,num_trainable_params
PrepaidTravelCost,gru_encoder_gru_decoder_v2,gru_suffix_v2,0.911988,3902.553385,9913.101042,0.993624,0.883471,0.862497,17,0.916667,3134.530469,5825.624479,1.0,0.764706,0.716578,969.84,7.98,156354
BPI_Challenge_2012_O,gru_encoder_gru_decoder_v2,gru_suffix_v2,0.728165,3175.85599,8179.580208,0.92282,0.818751,0.806361,816,0.651005,2930.725781,10089.615625,0.930678,0.732843,0.677274,1481.11,12.0,152830
RequestForPayment,gru_encoder_gru_decoder_v2,gru_suffix_v2,0.937288,3612.040885,6760.208854,0.998311,0.897648,0.862309,8,1.0,2083.164844,2083.164844,1.0,1.0,1.0,1920.19,13.03,154285
Sepsis,gru_encoder_gru_decoder_v2,gru_suffix_v2,0.508753,13832.317708,167030.883333,0.687009,0.638079,0.635781,794,0.452111,14508.925,110418.041667,0.66616,0.593199,0.577468,2084.83,6.06,154285
BPIC15_4,gru_encoder_gru_decoder_v2,gru_suffix_v2,0.193047,4882.388021,167792.3,0.546608,0.173397,0.169527,7332,0.188534,4857.569792,173122.316667,0.558937,0.167076,0.160561,3138.96,24.11,210574
DomesticDeclarations,gru_encoder_gru_decoder_v2,gru_suffix_v2,0.952103,3056.625521,5550.783854,1.0,0.910591,0.875804,0,,,,,,,3275.5,15.97,154285
InternationalDeclarations,gru_encoder_gru_decoder_v2,gru_suffix_v2,0.915592,5575.107813,16146.073958,0.996049,0.90666,0.881049,132,0.929802,4710.948438,20813.604167,1.0,0.909091,0.867834,3344.03,27.27,157014
BPI_Challenge_2012_A,gru_encoder_gru_decoder_v2,gru_suffix_v2,0.738751,3196.994531,9897.432292,0.865955,0.770253,0.748863,1288,1.0,1.147767,0.574774,0.910078,1.0,1.0,3372.58,13.45,153309
BPIC15_2,gru_encoder_gru_decoder_v2,gru_suffix_v2,0.174288,23399.145833,1459544.266667,0.477174,0.113548,0.104983,7628,0.165,26506.210417,1688646.133333,0.490874,0.090456,0.082628,3364.37,25.62,214638
BPIC15_1,gru_encoder_gru_decoder_v2,gru_suffix_v2,0.152049,95756.983333,2308632.0,0.339025,0.092321,0.084579,9923,0.14882,104818.891667,2500338.4,0.353506,0.08183,0.073366,3407.93,22.01,216702
BPIC15_3,gru_encoder_gru_decoder_v2,gru_suffix_v2,0.171096,14731.572917,363612.233333,0.387926,0.117111,0.114634,10616,0.16395,17467.911458,419592.033333,0.397459,0.096835,0.092781,3725.88,19.51,215670
BPIC15_5,gru_encoder_gru_decoder_v2,gru_suffix_v2,0.156466,852772.2,103033864.533333,0.649524,0.155737,0.150291,9966,0.151944,1009171.533333,117451707.733333,0.657772,0.144692,0.136947,5366.51,18.86,213366
BPI_Challenge_2012_W,gru_encoder_gru_decoder_v2,gru_suffix_v2,0.348102,957.979687,11183.013542,0.999964,0.853759,0.849287,14,0.262984,157.035205,2757.340885,0.995215,1.0,1.0,6004.15,23.34,152830
Road_Traffic_Fine_Management_Process,gru_encoder_gru_decoder_v2,gru_suffix_v2,0.798607,207234.116667,309539.8,0.98036,0.812608,0.768246,2679,0.939735,275451.4,270126.95,0.978481,0.969765,0.962116,7571.5,15.87,153444
Hospital_Billing,gru_encoder_gru_decoder_v2,gru_suffix_v2,0.854279,24207.6375,39751.266667,0.999775,0.807447,0.811581,57,0.849213,24865.895833,29076.68125,0.970149,0.947368,0.924534,9413.41,11.94,154559
