log,model,method,dl_similarity,tsp_mae_minutes,rrt_mae_minutes,training_time_seconds,testing_time_seconds,num_trainable_params
BPI_Challenge_2012_O,multilabel_v1,gatv2_gru_multilabel,0.715297,3425.76276,9210.664583,2611.75,16.22,30963
Sepsis,multilabel_v1,gatv2_gru_multilabel,0.504901,4307.569792,45188.675,4479.6,7.33,33756
PrepaidTravelCost,multilabel_v1,gatv2_gru_multilabel,0.882515,3626.177344,16552.215625,4757.42,8.69,36907
BPI_Challenge_2012_A,multilabel_v1,gatv2_gru_multilabel,0.657091,2490.42474,9776.359375,5357.75,30.13,31888
BPIC15_2,multilabel_v1,gatv2_gru_multilabel,0.012912,18783.95,69360.245833,5775.93,23.69,95171
RequestForPayment,multilabel_v1,gatv2_gru_multilabel,0.936914,3373.604948,6118.955729,7929.85,16.56,33829
BPIC15_1,multilabel_v1,gatv2_gru_multilabel,0.023737,14468.46875,51890.720833,8783.18,31.46,96467
BPIC15_3,multilabel_v1,gatv2_gru_multilabel,0.098197,7161.966667,25309.335417,9669.33,29.46,95819
BPIC15_4,multilabel_v1,gatv2_gru_multilabel,0.074549,13300.191667,57222.891667,10317.24,20.35,91045
DomesticDeclarations,multilabel_v1,gatv2_gru_multilabel,0.951438,2832.184375,5875.300521,11070.87,18.03,33756
InternationalDeclarations,multilabel_v1,gatv2_gru_multilabel,0.898603,5115.104167,20728.058333,19414.02,27.72,37211
BPI_Challenge_2012_W,multilabel_v1,gatv2_gru_multilabel,0.134727,1047.596419,15193.315625,21719.83,60.1,30963
BPIC15_5,multilabel_v1,gatv2_gru_multilabel,0.139641,15059.347917,50586.779167,23713.96,12.62,93580
Hospital_Billing,multilabel_v1,gatv2_gru_multilabel,0.848612,24057.460417,50537.675,26523.7,17.85,33902
Road_Traffic_Fine_Management_Process,multilabel_v1,gatv2_gru_multilabel,0.806193,134589.691667,324125.1,32983.04,14.44,31959
