log,model,method,dl_similarity,ttne_mae_minutes,rrt_mae_minutes,training_time_seconds,testing_time_seconds,num_trainable_params
Sepsis,suffix_time_cross_attn,gatv2_cross_attn_gru,0.50475,2934.947656,22199.35625,7099.62,14.42,58782
BPI_Challenge_2012_O,suffix_time_cross_attn,gatv2_cross_attn_gru,0.724313,2562.455729,6674.856771,8379.57,30.3,55989
PrepaidTravelCost,suffix_time_cross_attn,gatv2_cross_attn_gru,0.903567,2930.307292,9780.189583,10408.65,16.53,61933
BPI_Challenge_2012_A,suffix_time_cross_attn,gatv2_cross_attn_gru,0.73598,2201.107292,6314.126562,11401.23,46.78,56914
RequestForPayment,suffix_time_cross_attn,gatv2_cross_attn_gru,0.938927,2597.242188,7269.146875,13170.9,27.06,58855
DomesticDeclarations,suffix_time_cross_attn,gatv2_cross_attn_gru,0.952193,2209.355469,6200.298437,18551.02,37.64,58782
BPIC15_1,suffix_time_cross_attn,gatv2_cross_attn_gru,0.177963,2078.845573,50845.683333,30933.28,35.2,121493
InternationalDeclarations,suffix_time_cross_attn,gatv2_cross_attn_gru,0.910957,4354.246615,18567.039583,33616.16,49.15,62237
BPIC15_5,suffix_time_cross_attn,gatv2_cross_attn_gru,0.180983,2240.224219,47884.066667,26334.53,34.04,118606
BPIC15_3,suffix_time_cross_attn,gatv2_cross_attn_gru,0.230897,1077.931706,25505.252083,41326.45,32.42,120845
BPIC15_4,suffix_time_cross_attn,gatv2_cross_attn_gru,0.214497,3124.972917,44093.995833,38309.22,20.61,116071
BPIC15_2,suffix_time_cross_attn,gatv2_cross_attn_gru,0.188171,3126.393229,83313.775,45920.36,23.58,120197
BPI_Challenge_2012_W,suffix_time_cross_attn,gatv2_cross_attn_gru,0.272739,901.189648,9827.480208,48366.61,62.68,55989
Road_Traffic_Fine_Management_Process,suffix_time_cross_attn,gatv2_cross_attn_gru,0.798559,103420.625,263586.983333,51947.1,116.2,56985
Hospital_Billing,suffix_time_cross_attn,gatv2_cross_attn_gru,0.853799,15947.239583,39898.5125,74042.76,107.27,58928
