log,model,method,dl_similarity,ttne_mae_minutes,rrt_mae_minutes,training_time_seconds,testing_time_seconds,num_trainable_params
Sepsis,suffix_time_data_aware,gatv2_data_aware_gru_stop,0.489952,2991.764323,22356.754167,1118.62,4.71,41054
BPI_Challenge_2012_O,suffix_time_data_aware,gatv2_data_aware_gru_stop,0.666806,2733.011979,6761.716146,1487.6,10.81,89112
PrepaidTravelCost,suffix_time_data_aware,gatv2_data_aware_gru_stop,0.867077,3178.600781,9288.046875,1541.77,5.95,304285
RequestForPayment,suffix_time_data_aware,gatv2_data_aware_gru_stop,0.94476,2848.45599,6076.523438,2787.63,11.22,645943
DomesticDeclarations,suffix_time_data_aware,gatv2_data_aware_gru_stop,0.925941,2318.736458,5811.466146,3546.14,16.08,960390
BPI_Challenge_2012_A,suffix_time_data_aware,gatv2_data_aware_gru_stop,0.714199,2480.88151,5700.567187,3628.47,14.95,196242
InternationalDeclarations,suffix_time_data_aware,gatv2_data_aware_gru_stop,0.820386,4930.873958,17714.24375,4943.69,25.51,1040211
BPIC15_5,suffix_time_data_aware,gatv2_data_aware_gru_stop,0.195853,2713.965365,48110.633333,6254.18,17.59,696810
BPIC15_3,suffix_time_data_aware,gatv2_data_aware_gru_stop,0.236766,1082.378125,25397.777083,7246.18,13.95,789874
BPIC15_1,suffix_time_data_aware,gatv2_data_aware_gru_stop,0.164219,2080.060807,50800.679167,7668.54,11.8,721338
BPI_Challenge_2012_W,suffix_time_data_aware,gatv2_data_aware_gru_stop,0.287333,870.314714,11056.434375,9220.16,25.42,148184
BPIC15_2,suffix_time_data_aware,gatv2_data_aware_gru_stop,0.214578,3122.197135,83516.175,10869.34,9.99,486794
BPIC15_4,suffix_time_data_aware,gatv2_data_aware_gru_stop,0.226806,3469.991927,44714.545833,11112.45,6.62,545228
Hospital_Billing,suffix_time_data_aware,gatv2_data_aware_gru_stop,0.94888,16736.105208,38486.4625,11386.04,12.93,72960
Road_Traffic_Fine_Management_Process,suffix_time_data_aware,gatv2_data_aware_gru_stop,0.803338,102315.625,256797.283333,11939.05,8.69,35629
