log,model,method,dl_similarity,ttne_mae_minutes,rrt_mae_minutes,training_time_seconds,testing_time_seconds
Sepsis,suffix_time_scheduled,gatv2_gru_scheduled,0.485511,3080.697135,22467.347917,939.68,4.89
BPI_Challenge_2012_A,suffix_time_scheduled,gatv2_gru_scheduled,0.721207,2189.648177,5760.544792,2332.4,17.28
PrepaidTravelCost,suffix_time_scheduled,gatv2_gru_scheduled,0.901562,2943.119792,9896.788542,3007.87,5.53
BPI_Challenge_2012_O,suffix_time_scheduled,gatv2_gru_scheduled,0.727665,2535.134635,6784.748958,3339.68,8.54
DomesticDeclarations,suffix_time_scheduled,gatv2_gru_scheduled,0.923315,2247.734896,5720.095833,4447.88,15.09
BPI_Challenge_2012_W,suffix_time_scheduled,gatv2_gru_scheduled,0.156535,921.615885,11784.578125,5290.09,53.2
BPIC15_3,suffix_time_scheduled,gatv2_gru_scheduled,0.209052,1077.271745,25526.80625,14631.38,45.44
BPIC15_2,suffix_time_scheduled,gatv2_gru_scheduled,0.195334,3118.258073,83639.058333,20649.67,31.35
RequestForPayment,suffix_time_scheduled,gatv2_gru_scheduled,0.934474,2592.336198,7108.475521,27752.46,29.6
InternationalDeclarations,suffix_time_scheduled,gatv2_gru_scheduled,0.907503,4345.266667,17619.122917,30894.79,68.56
BPIC15_1,suffix_time_scheduled,gatv2_gru_scheduled,0.198947,2079.924089,50813.6375,36366.05,32.4
BPIC15_5,suffix_time_scheduled,gatv2_gru_scheduled,0.186665,2078.415234,50821.933333,39632.7,27.76
Hospital_Billing,suffix_time_scheduled,gatv2_gru_scheduled,0.841783,15906.877083,39507.0,41495.78,182.05
Road_Traffic_Fine_Management_Process,suffix_time_scheduled,gatv2_gru_scheduled,0.798015,104696.191667,263966.683333,48627.38,48.42
BPIC15_4,suffix_time_scheduled,gatv2_gru_scheduled,0.226277,2392.603906,41287.283333,50548.44,6.11
