log,model,method,dl_similarity,ttne_mae_minutes,rrt_mae_minutes,next_act_accuracy,next_act_f1_weighted,conc_n_samples,conc_dl_similarity,conc_ttne_mae_minutes,conc_rrt_mae_minutes,conc_next_act_accuracy,conc_next_act_f1_weighted,training_time_seconds,testing_time_seconds,num_trainable_params
Sepsis,suffix_time_stop,gatv2_gru_stop,0.493785,2936.674479,22453.908333,0.632247,0.60782,794,0.439785,3435.942448,25727.73125,0.52267,0.507714,2716.71,11.02,33886
BPI_Challenge_2012_A,suffix_time_stop,gatv2_gru_stop,0.720024,2195.086458,5800.73125,0.76919,0.747722,1289,1.0,511.777962,200.447119,1.0,1.0,4739.85,32.81,32018
BPI_Challenge_2012_O,suffix_time_stop,gatv2_gru_stop,0.724331,2571.471615,6709.880729,0.813202,0.796988,532,0.735304,2430.25625,8683.814583,0.913534,0.896526,6626.0,12.24,31093
PrepaidTravelCost,suffix_time_stop,gatv2_gru_stop,0.904612,2937.238802,9927.253125,0.883024,0.863208,17,0.955882,1769.998307,3855.488021,0.823529,0.746803,6743.79,7.08,37037
DomesticDeclarations,suffix_time_stop,gatv2_gru_stop,0.952675,2206.15,6279.445312,0.911002,0.876267,0,,,,,,9392.15,18.3,33886
RequestForPayment,suffix_time_stop,gatv2_gru_stop,0.93961,2637.245573,7494.389063,0.898792,0.859324,8,1.0,795.263346,1550.297917,1.0,1.0,12094.15,9.0,33959
BPIC15_3,suffix_time_stop,gatv2_gru_stop,0.218638,1082.325326,25353.572917,0.168735,0.164436,10616,0.204723,1016.456901,23034.29375,0.13668,0.136078,15644.82,23.3,95949
InternationalDeclarations,suffix_time_stop,gatv2_gru_stop,0.910091,4352.104688,18631.379167,0.904487,0.879405,131,0.905557,4118.138802,20953.685417,0.908397,0.866826,16347.55,21.71,37341
BPI_Challenge_2012_W,suffix_time_stop,gatv2_gru_stop,0.25507,891.729883,10765.8625,0.81541,0.813602,17,0.230684,140.780257,1575.719922,0.470588,0.5,17505.4,40.18,31093
BPIC15_4,suffix_time_stop,gatv2_gru_stop,0.221671,3363.281771,43058.908333,0.1951,0.188604,7332,0.212406,3374.568229,43875.933333,0.158483,0.150431,17855.91,12.03,91175
BPIC15_1,suffix_time_stop,gatv2_gru_stop,0.188396,2080.035286,50812.7625,0.103147,0.106106,9923,0.183146,2066.330339,49785.795833,0.079815,0.082147,19232.84,24.02,96597
BPIC15_2,suffix_time_stop,gatv2_gru_stop,0.196693,3227.414583,80596.666667,0.139492,0.129239,7628,0.18669,3184.067708,80336.133333,0.109203,0.100084,19394.79,23.36,95301
BPIC15_5,suffix_time_stop,gatv2_gru_stop,0.190911,2220.540104,47179.420833,0.240197,0.221694,9966,0.184434,2180.047786,47176.745833,0.215332,0.196154,21455.05,16.13,93710
Hospital_Billing,suffix_time_stop,gatv2_gru_stop,0.853998,15842.275,39824.179167,0.806883,0.812651,48,0.854613,17191.164583,35669.904167,0.833333,0.813205,24078.57,11.76,34032
Road_Traffic_Fine_Management_Process,suffix_time_stop,gatv2_gru_stop,0.798641,103169.683333,262482.433333,0.812649,0.76583,2679,0.939548,91517.1,183638.416667,0.969392,0.962111,24345.77,8.41,32089
