log,model,method,dl_similarity,ttne_mae_minutes,rrt_mae_minutes,training_time_seconds,testing_time_seconds,num_trainable_params
Sepsis,suffix_time_stop,gatv2_gru_stop,0.482767,3162.115365,22182.06875,921.7,4.53,33886
BPI_Challenge_2012_A,suffix_time_stop,gatv2_gru_stop,0.720561,2094.402474,5732.615104,3620.63,31.45,32018
BPI_Challenge_2012_O,suffix_time_stop,gatv2_gru_stop,0.724343,2582.838802,6764.900521,6157.27,13.69,31093
PrepaidTravelCost,suffix_time_stop,gatv2_gru_stop,0.908007,2937.398177,10087.24375,6180.9,9.2,37037
RequestForPayment,suffix_time_stop,gatv2_gru_stop,0.939699,2608.570052,7373.052083,18317.87,25.39,33959
BPIC15_3,suffix_time_stop,gatv2_gru_stop,0.22931,1112.927083,24491.558333,24136.2,40.12,95949
DomesticDeclarations,suffix_time_stop,gatv2_gru_stop,0.952257,2207.782292,6307.968229,28392.41,33.4,33886
InternationalDeclarations,suffix_time_stop,gatv2_gru_stop,0.9087,4386.455208,18059.74375,29001.48,55.76,37341
BPIC15_5,suffix_time_stop,gatv2_gru_stop,0.196055,2084.67474,50503.7,32093.28,35.33,93710
BPIC15_4,suffix_time_stop,gatv2_gru_stop,0.221712,3466.494792,42723.233333,32340.5,24.18,91175
BPIC15_1,suffix_time_stop,gatv2_gru_stop,0.185941,2084.233203,50665.404167,33064.62,27.9,96597
BPIC15_2,suffix_time_stop,gatv2_gru_stop,0.198959,3118.554948,83631.858333,33331.91,27.16,95301
Hospital_Billing,suffix_time_stop,gatv2_gru_stop,0.842233,15949.285417,39744.8125,46057.48,184.54,34032
BPI_Challenge_2012_W,suffix_time_stop,gatv2_gru_stop,0.314049,902.749544,10470.769792,63101.78,54.6,31093
Road_Traffic_Fine_Management_Process,suffix_time_stop,gatv2_gru_stop,0.798605,103616.541667,263437.366667,65429.79,91.32,32089
