epoch,composite training loss,activity training loss (cross entropy),TTNE training loss (MAE),composite validation loss,TTNE - MAE standardized,TTNE - MAE minutes,Cross Entropy validation set next activity,Next Activity Accuracy (validation)
0,0.3887242317572236,0.2202796638570726,0.1621152590215206,0.6239755153656006,0.1905863732099533,617.2084525958172,0.4333891272544861,0.8287261128425598
1,0.2873975565098226,0.16369589692912995,0.12352924698032439,0.5825297236442566,0.18691816926002502,605.3290802901854,0.39561161398887634,0.8292993903160095
2,0.2768415249697864,0.15479910267516972,0.12198177348356694,0.5729634165763855,0.1839679777622223,595.7749705259253,0.3889954090118408,0.8278980851173401
3,0.27261240892112254,0.1515185132343322,0.12104944302234799,0.5700438618659973,0.18269887566566467,591.6650201238598,0.38734498620033264,0.8261146545410156
4,0.270815285500139,0.1501019593793899,0.12068423245567829,0.5766614079475403,0.18525302410125732,599.9365558957039,0.3914083242416382,0.8212102055549622
5,0.2693221903964877,0.1490011076629162,0.12029539768584073,0.571416974067688,0.1814689189195633,587.6818408060775,0.3899480104446411,0.8281528949737549
6,0.2677874738164246,0.14792114925570787,0.11984646082855761,0.5653848052024841,0.18141794204711914,587.5167536803324,0.3839667737483978,0.8285350203514099
7,0.2661232188157737,0.146490375706926,0.11947061609011143,0.5664879083633423,0.18577468395233154,601.6259362225345,0.3807133436203003,0.8286623954772949
8,0.26589819811284543,0.1463406142219901,0.11953883237671108,0.56494140625,0.18550196290016174,600.7427369897406,0.37943944334983826,0.8315286636352539
9,0.2641835196129978,0.14491760806180537,0.11917708720546216,0.5623860359191895,0.18179865181446075,588.7496712411812,0.3805873692035675,0.8310191035270691
10,0.26455786837264894,0.14527438892051578,0.11917266536969691,0.5670369863510132,0.18128126859664917,587.0741406673728,0.3857556879520416,0.8285350203514099
11,0.26345658602193,0.14458736036904157,0.1188428112026304,0.5638166069984436,0.1841440349817276,596.3451267348348,0.3796725571155548,0.8302547931671143
12,0.2629642330855131,0.14394051053561271,0.11901271268259733,0.5720905661582947,0.18139275908470154,587.4351993855328,0.3906978368759155,0.8124203681945801
13,0.26247117487713695,0.143785218372941,0.11865580352488905,0.5594279170036316,0.17946268618106842,581.1847141583639,0.3799651861190796,0.8314012885093689
14,0.263104448094964,0.14425695861689747,0.11883176798466594,0.5698165893554688,0.18362320959568024,594.6584487988378,0.3861933648586273,0.8325477838516235
15,0.2618660636804998,0.1428341592475772,0.11902476512361318,0.5634138584136963,0.1799250841140747,582.68217647903,0.3834887444972992,0.8306369185447693
16,0.2612240480259061,0.14265895640477538,0.11855226957239211,0.5635803937911987,0.18108445405960083,586.4367624864776,0.3824959397315979,0.8271974325180054
