epoch,composite training loss,activity training loss (cross entropy),TTNE training loss (MAE),composite validation loss,TTNE - MAE standardized,TTNE - MAE minutes,Cross Entropy validation set next activity,Next Activity Accuracy (validation)
0,0.20253196887671948,0.12519776733592153,0.07169957118108869,0.5066564083099365,0.11029813438653946,4609.839455173062,0.39635828137397766,0.8920603394508362
1,0.11964119063690305,0.07748264793306589,0.040961527284234765,0.48087528347969055,0.10122732073068619,4230.730643280247,0.37964797019958496,0.8793744444847107
2,0.11078345526009797,0.07094683721661568,0.03901457016356289,0.47451233863830566,0.11465968191623688,4792.127523777653,0.35985267162323,0.896216094493866
3,0.10747415659949183,0.06835540255531669,0.038281069183722136,0.4839896261692047,0.12768036127090454,5336.318427423883,0.35630926489830017,0.8937007784843445
4,0.10486910313367843,0.06669028285890817,0.03721498166676611,0.46320492029190063,0.10161428153514862,4246.9034207613695,0.3615906834602356,0.8949037790298462
5,0.10239742431789636,0.06583782192319632,0.035850712866522375,0.45016369223594666,0.1013195589184761,4234.58567890449,0.34884414076805115,0.8934820890426636
6,0.10065962312743068,0.06501833865419031,0.03449553031474352,0.43499717116355896,0.09791209548711777,4092.172940418027,0.33708497881889343,0.8953412175178528
7,0.09868803959339857,0.0636657528579235,0.03419758063275367,0.45583805441856384,0.1022508442401886,4273.508148844087,0.35358721017837524,0.8952318429946899
8,0.09887156914919615,0.06390197989530862,0.033833641349337994,0.4671555459499359,0.10565250366926193,4415.678312794906,0.361503005027771,0.8944663405418396
9,0.09757251422852278,0.0632335255946964,0.03343700608238578,0.4464537501335144,0.0988488420844078,4131.32366085137,0.3476048707962036,0.8941382169723511
10,0.09695006273686886,0.0628156350273639,0.03334514759946614,0.4363548755645752,0.09711053967475891,4058.6724317295852,0.3392443358898163,0.8937007784843445
11,0.09723672470077872,0.06282205560244619,0.03360046474263072,0.4528253376483917,0.10295454412698746,4302.918832178021,0.3498707711696625,0.8955599069595337
12,0.09658035891130566,0.06200377266854048,0.03362799954134971,0.448140412569046,0.09960002452135086,4162.718846772807,0.34854042530059814,0.8945756554603577
13,0.09598829891532659,0.06165713089518249,0.0336495858617127,0.44107159972190857,0.10023161768913269,4189.115876247984,0.3408399820327759,0.8943569660186768
14,0.09577723355963826,0.06188448338769376,0.03332820967771113,0.43986397981643677,0.10280805081129074,4296.796238442653,0.3370559513568878,0.8943569660186768
15,0.09502388805150985,0.06132095769047737,0.033132799696177245,0.4574078321456909,0.10281343758106232,4297.021375014247,0.3545943796634674,0.8924978375434875
16,0.09544842498376965,0.06144203505478799,0.03324926109984517,0.4438933730125427,0.10419223457574844,4354.6473069679405,0.3397011458873749,0.8949037790298462
17,0.09531619265675545,0.061171848867088555,0.0332150539662689,0.4517920911312103,0.09945771843194962,4156.771255462385,0.3523344099521637,0.8952318429946899
18,0.09283583533018827,0.059400874292477965,0.032915234165266156,0.44943705201148987,0.10094517469406128,4218.938531482634,0.348491907119751,0.8964348435401917
19,0.09256049133837223,0.05943545026704669,0.03247941368725151,0.46044349670410156,0.09791484475135803,4092.2878441454372,0.36252865195274353,0.8968722820281982
20,0.09225855050608515,0.0590998353715986,0.0325227048387751,0.43457281589508057,0.09842196851968765,4113.482755273392,0.3361508846282959,0.8961067199707031
21,0.0919939074665308,0.05911063984036446,0.03233834540471434,0.4462369978427887,0.09748487174510956,4074.317399405934,0.34875211119651794,0.8961067199707031
22,0.09214795064181089,0.059055468058213594,0.03256630383897573,0.42791587114334106,0.09451647102832794,3950.2550041615245,0.33339938521385193,0.8957786560058594
23,0.09184216300025583,0.05899007302708924,0.03217132089659572,0.45733407139778137,0.10091447830200195,4217.655595555988,0.3564196228981018,0.8947944045066833
24,0.0917069112509489,0.05884502979926765,0.03228872700128704,0.43073558807373047,0.09464263916015625,3955.5281199338124,0.33609291911125183,0.8935914039611816
25,0.0915680462680757,0.058677173107862475,0.03231681447010487,0.4416307806968689,0.098116934299469,4100.734046590668,0.3435138165950775,0.8955599069595337
26,0.09103539515286684,0.05874029402621091,0.031705494630150495,0.43867528438568115,0.10053876042366028,4201.952708927611,0.3381365239620209,0.8952318429946899
27,0.0916092406399548,0.05847287068143487,0.03262115427758545,0.4490116238594055,0.09923364222049713,4147.406134590083,0.3497779369354248,0.8937007784843445
28,0.09107700452208518,0.0585666426923126,0.03174138625152409,0.4508567154407501,0.10247936099767685,4283.058859476652,0.3483773171901703,0.8942475914955139
29,0.0916858478449285,0.058480217074975374,0.03249114416074008,0.4467751085758209,0.1028032973408699,4296.597570209352,0.34397175908088684,0.8957786560058594
30,0.09091867584735155,0.058305345131084325,0.03211714637000114,0.46090808510780334,0.10537423193454742,4404.0481249492,0.3555338978767395,0.8945756554603577
31,0.09066607996821403,0.05822712726891041,0.032007550648413596,0.44673022627830505,0.10151916742324829,4242.928187742057,0.345210999250412,0.8950130939483643
32,0.0904444038681686,0.057769438307732346,0.03213360200170427,0.4392339289188385,0.09719384461641312,4062.1541080877964,0.342040091753006,0.8952318429946899
33,0.09028425801545381,0.057935272781178354,0.031748548354953526,0.4424063265323639,0.0984887182712555,4116.272518129417,0.343917578458786,0.8957786560058594
