epoch,composite training loss,activity training loss (cross entropy),TTNE training loss (MAE),composite validation loss,TTNE - MAE standardized,TTNE - MAE minutes,Cross Entropy validation set next activity,Next Activity Accuracy (validation)
0,0.09128570180386304,0.05081657450646162,0.035930654909461734,0.6924962401390076,0.23081938922405243,3820.5523203976477,0.4616769552230835,0.8743961453437805
1,0.04741258516907692,0.026657842732965946,0.020482086669653655,0.5885340571403503,0.19697105884552002,3260.290387446425,0.39156296849250793,0.8828502297401428
2,0.03931942518800497,0.023311172453686593,0.015740137342363597,0.555565595626831,0.17912805080413818,2964.9506154951023,0.3764375150203705,0.8892914652824402
3,0.03679663684219122,0.0218987525254488,0.014634193442761899,0.5548406839370728,0.17833249270915985,2951.782435230877,0.3765081763267517,0.8900966048240662
4,0.035538776479661464,0.02096284121274948,0.014429758368059993,0.5747697353363037,0.18988601863384247,3143.0178874548405,0.38488370180130005,0.8896940350532532
5,0.03522787269204855,0.020756312161684037,0.0143012404628098,0.5339320302009583,0.18086333572864532,2993.673275524505,0.35306867957115173,0.8961352705955505
6,0.03441844465211034,0.020042187832295895,0.014172821827232838,0.5421229600906372,0.19071903824806213,3156.806135620398,0.3514039218425751,0.8965378403663635
7,0.03443909592926502,0.01991927203722298,0.014363976707682014,0.5401497483253479,0.18455028533935547,3054.700141325257,0.35559943318367004,0.8949275612831116
8,0.034122496508061886,0.019769207313656806,0.014126457115635276,0.5386267304420471,0.18444637954235077,3052.980279162968,0.3541804254055023,0.8973429799079895
9,0.03365087825804949,0.019503649063408374,0.014095426769927144,0.5374263525009155,0.18011459708213806,2981.280056813974,0.3573116958141327,0.8735910058021545
10,0.03345047457143664,0.019182147290557623,0.014106544125825167,0.5305142402648926,0.1782129853963852,2949.804334766005,0.3523011803627014,0.8937197923660278
11,0.03326346339657903,0.01908225723542273,0.014066112963482737,0.5203800201416016,0.17929255962371826,2967.6735867085927,0.3410874605178833,0.8989533185958862
12,0.0334602465480566,0.01913557332009077,0.014025715226307512,0.5263190865516663,0.1777520477771759,2942.1748358034233,0.34856706857681274,0.8933172225952148
13,0.032862332724034785,0.01888211851939559,0.013815592471510173,0.5407390594482422,0.17935210466384888,2968.6591838978234,0.3613869845867157,0.8941223621368408
14,0.03278691759333015,0.01862172125838697,0.014025052497163414,0.5440232753753662,0.18318726122379303,3032.1391902501496,0.360835999250412,0.8997584581375122
15,0.033078051041811704,0.018736512353643774,0.014053211566060781,0.5273928046226501,0.17890603840351105,2961.275837586606,0.3484867215156555,0.8989533185958862
16,0.0327609359100461,0.01869259253144264,0.013957043085247279,0.5275301933288574,0.181292325258255,3000.7739655847563,0.34623783826828003,0.8945249319076538
17,0.03265975458547473,0.01845921140164137,0.01402306285686791,0.5268658995628357,0.17988266050815582,2977.441012707274,0.3469832241535187,0.8969404101371765
18,0.03224523507058621,0.01824800666421652,0.013827284332364798,0.5264793634414673,0.18390578031539917,3044.032210987767,0.3425736725330353,0.9013687372207642
19,0.032474110666662455,0.018158974256366492,0.013950378345325589,0.5287158489227295,0.18380272388458252,3042.3264076442433,0.34491321444511414,0.8973429799079895
20,0.03227601872757077,0.018249987456947565,0.013876812234520912,0.5342893004417419,0.18217700719833374,3015.417335235565,0.3521122634410858,0.8981481194496155
21,0.032107734810560944,0.018012908957898616,0.013871077382937073,0.5284472703933716,0.17726071178913116,2934.0421791166095,0.3511865735054016,0.8985507488250732
22,0.032279713433235886,0.01822213993407786,0.013848246298730374,0.5444670915603638,0.18424858152866364,3049.7063009122553,0.36021849513053894,0.8969404101371765
23,0.03167221421375871,0.017715489640831947,0.013749086055904627,0.534592866897583,0.18134330213069916,3001.617741356618,0.35324952006340027,0.9001610279083252
