[2026-05-25 11:47:58] RUNNING | model=SEP_LSTM | log=BPIC15_1
[2026-05-25 11:47:58] RUNNING | model=SEP_LSTM | log=BPIC15_2
[2026-05-25 11:47:58] RUNNING | model=SEP_LSTM | log=BPIC15_3
[2026-05-25 11:47:58] RUNNING | model=SEP_LSTM | log=RequestForPayment
[2026-05-25 11:47:58] RUNNING | model=SEP_LSTM | log=BPIC15_4
[2026-05-25 11:47:58] RUNNING | model=SEP_LSTM | log=BPIC15_5
[2026-05-25 11:47:58] RUNNING | model=SEP_LSTM | log=Sepsis
[2026-05-25 11:47:58] RUNNING | model=SEP_LSTM | log=PrepaidTravelCost
[2026-05-25 11:47:58] RUNNING | model=SEP_LSTM | log=DomesticDeclarations
[2026-05-25 11:47:58] RUNNING | model=SEP_LSTM | log=InternationalDeclarations
[2026-05-25 11:47:58] RUNNING | model=SEP_LSTM | log=BPI_Challenge_2012_A
[2026-05-25 11:47:58] RUNNING | model=SEP_LSTM | log=BPI_Challenge_2012_O
[2026-05-25 11:47:58] RUNNING | model=SEP_LSTM | log=Hospital_Billing
[2026-05-25 11:47:58] RUNNING | model=SEP_LSTM | log=BPI_Challenge_2012_W
[2026-05-25 11:47:58] RUNNING | model=SEP_LSTM | log=Road_Traffic_Fine_Management_Process
[2026-05-25 11:53:59] DONE | model=SEP_LSTM | log=Sepsis
[2026-05-25 11:55:11] DONE | model=SEP_LSTM | log=PrepaidTravelCost
[2026-05-25 12:02:23] DONE | model=SEP_LSTM | log=BPIC15_2
[2026-05-25 12:03:21] DONE | model=SEP_LSTM | log=BPIC15_4
[2026-05-25 12:04:11] DONE | model=SEP_LSTM | log=BPIC15_1
[2026-05-25 12:04:57] DONE | model=SEP_LSTM | log=RequestForPayment
[2026-05-25 12:06:29] DONE | model=SEP_LSTM | log=BPIC15_5
[2026-05-25 12:06:47] DONE | model=SEP_LSTM | log=BPIC15_3
[2026-05-25 12:07:34] DONE | model=SEP_LSTM | log=BPI_Challenge_2012_O
[2026-05-25 12:08:23] DONE | model=SEP_LSTM | log=DomesticDeclarations
[2026-05-25 12:08:59] DONE | model=SEP_LSTM | log=InternationalDeclarations
[2026-05-25 12:09:18] DONE | model=SEP_LSTM | log=BPI_Challenge_2012_A
[2026-05-25 12:21:32] DONE | model=SEP_LSTM | log=BPI_Challenge_2012_W
[2026-05-25 12:50:43] DONE | model=SEP_LSTM | log=Hospital_Billing
[2026-05-25 13:17:38] DONE | model=SEP_LSTM | log=Road_Traffic_Fine_Management_Process
