log,n_train,train_pairs,n_val,val_pairs,n_test,test_pairs,conc_count,error
BPI_Challenge_2012_O,2635,15852,659,3999,1667,10235,532,
PrepaidTravelCost,1151,9796,288,2484,632,5513,17,
Sepsis,599,8025,150,1904,285,4057,794,
RequestForPayment,4205,21727,1052,5723,1558,8489,8,
BPI_Challenge_2012_A,7718,36026,1930,7917,3439,16906,1289,
DomesticDeclarations,6442,33223,1611,8850,2325,12877,0,
BPIC15_4,617,26627,155,7988,266,11335,7332,
BPIC15_1,709,28587,178,8698,295,13412,9923,
BPIC15_5,693,34299,174,9386,271,13494,9966,
BPIC15_3,849,34457,213,9571,327,13825,10616,
InternationalDeclarations,3128,32129,782,9144,2473,29423,131,
BPIC15_2,480,24702,121,6958,218,11243,7628,
BPI_Challenge_2012_W,5439,88975,1360,15700,2714,53068,17,
Road_Traffic_Fine_Management_Process,87909,336472,21978,64887,39194,149059,2679,
Hospital_Billing,53675,246658,13419,51566,31713,135281,48,
