[2026-05-24 09:04:45] RUNNING | model=SuTraN_NDA | log=BPI_Challenge_2012_W
[2026-05-24 09:08:14] DONE | model=SuTraN_NDA | log=BPI_Challenge_2012_O
[2026-05-24 09:08:14] RUNNING | model=CRTP_LSTM_DA | log=BPI_Challenge_2012_W
[2026-05-24 09:30:32] RUNNING | model=SEP_LSTM | log=BPIC15_1
[2026-05-24 09:30:32] RUNNING | model=SEP_LSTM | log=BPIC15_2
[2026-05-24 09:30:32] RUNNING | model=SEP_LSTM | log=BPIC15_3
[2026-05-24 09:30:32] RUNNING | model=SEP_LSTM | log=BPIC15_4
[2026-05-24 09:30:32] RUNNING | model=SEP_LSTM | log=BPIC15_5
[2026-05-24 09:30:32] RUNNING | model=SEP_LSTM | log=RequestForPayment
[2026-05-24 09:30:32] RUNNING | model=SEP_LSTM | log=Sepsis
[2026-05-24 09:30:32] RUNNING | model=SEP_LSTM | log=PrepaidTravelCost
[2026-05-24 09:30:32] RUNNING | model=SEP_LSTM | log=BPI_Challenge_2012_A
[2026-05-24 09:30:32] RUNNING | model=SEP_LSTM | log=InternationalDeclarations
[2026-05-24 09:30:32] RUNNING | model=SEP_LSTM | log=BPI_Challenge_2012_O
[2026-05-24 09:30:32] RUNNING | model=SEP_LSTM | log=BPI_Challenge_2012_W
[2026-05-24 09:30:32] RUNNING | model=SEP_LSTM | log=Hospital_Billing
[2026-05-24 09:30:32] RUNNING | model=SEP_LSTM | log=Road_Traffic_Fine_Management_Process
[2026-05-24 09:34:18] DONE | model=SEP_LSTM | log=Sepsis
[2026-05-24 09:35:46] DONE | model=SEP_LSTM | log=PrepaidTravelCost
[2026-05-24 09:40:12] DONE | model=SEP_LSTM | log=BPIC15_2
[2026-05-24 09:40:15] DONE | model=SEP_LSTM | log=BPIC15_4
[2026-05-24 09:40:57] DONE | model=SEP_LSTM | log=BPIC15_1
[2026-05-24 09:41:41] DONE | model=SEP_LSTM | log=RequestForPayment
[2026-05-24 09:42:06] DONE | model=SEP_LSTM | log=BPIC15_5
[2026-05-24 09:42:26] RUNNING | model=SuTraN_DA | log=BPI_Challenge_2012_W
[2026-05-24 09:42:26] RUNNING | model=CRTP_LSTM_DA | log=BPI_Challenge_2012_W
[2026-05-24 09:42:26] RUNNING | model=SuTraN_NDA | log=BPI_Challenge_2012_W
[2026-05-24 09:43:09] DONE | model=SEP_LSTM | log=BPI_Challenge_2012_O
[2026-05-24 09:43:12] DONE | model=SEP_LSTM | log=BPIC15_3
[2026-05-24 09:46:17] DONE | model=SEP_LSTM | log=BPI_Challenge_2012_A
[2026-05-24 09:46:59] DONE | model=SEP_LSTM | log=InternationalDeclarations
[2026-05-24 10:04:14] DONE | model=SEP_LSTM | log=BPI_Challenge_2012_W
[2026-05-24 10:28:08] DONE | model=CRTP_LSTM_DA | log=BPI_Challenge_2012_W
[2026-05-24 10:28:08] RUNNING | model=ED_LSTM | log=BPI_Challenge_2012_W
[2026-05-24 11:00:49] DONE | model=SEP_LSTM | log=Hospital_Billing
[2026-05-24 11:13:00] DONE | model=ED_LSTM | log=BPI_Challenge_2012_W
[2026-05-24 11:13:00] RUNNING | model=SuTraN_DA | log=Hospital_Billing
[2026-05-24 11:13:28] DONE | model=SEP_LSTM | log=Road_Traffic_Fine_Management_Process
[2026-05-24 13:54:48] DONE | model=SuTraN_DA | log=BPI_Challenge_2012_W
[2026-05-24 13:54:48] RUNNING | model=SuTraN_NDA | log=Hospital_Billing
[2026-05-24 13:57:57] DONE | model=SuTraN_NDA | log=BPI_Challenge_2012_W
[2026-05-24 13:57:57] RUNNING | model=CRTP_LSTM_DA | log=Hospital_Billing
[2026-05-24 16:02:50] DONE | model=SuTraN_NDA | log=Hospital_Billing
[2026-05-24 16:02:50] RUNNING | model=ED_LSTM | log=Hospital_Billing
[2026-05-24 16:42:36] DONE | model=ED_LSTM | log=Hospital_Billing
[2026-05-24 16:42:36] RUNNING | model=SuTraN_DA | log=Road_Traffic_Fine_Management_Process
[2026-05-24 17:16:11] DONE | model=CRTP_LSTM_DA | log=Hospital_Billing
[2026-05-24 17:16:11] RUNNING | model=SuTraN_NDA | log=Road_Traffic_Fine_Management_Process
[2026-05-24 17:48:58] DONE | model=SuTraN_DA | log=Hospital_Billing
[2026-05-24 17:48:58] RUNNING | model=CRTP_LSTM_DA | log=Road_Traffic_Fine_Management_Process
[2026-05-24 19:54:15] DONE | model=CRTP_LSTM_DA | log=Road_Traffic_Fine_Management_Process
[2026-05-24 19:54:15] RUNNING | model=ED_LSTM | log=Road_Traffic_Fine_Management_Process
[2026-05-24 19:58:36] DONE | model=SuTraN_NDA | log=Road_Traffic_Fine_Management_Process
[2026-05-24 20:11:41] DONE | model=SuTraN_DA | log=Road_Traffic_Fine_Management_Process
[2026-05-24 20:35:59] DONE | model=ED_LSTM | log=Road_Traffic_Fine_Management_Process
[2026-05-30 12:10:22] RUNNING | model=CRTP_LSTM_NDA | log=BPIC15_1
[2026-05-30 12:10:22] RUNNING | model=BEST | log=BPIC15_1
[2026-05-30 12:10:22] RUNNING | model=SuTraN_NDA | log=BPIC15_1
[2026-05-30 12:10:22] RUNNING | model=SEP_LSTM | log=BPIC15_1
[2026-05-30 12:10:22] RUNNING | model=ED_LSTM | log=BPIC15_1
[2026-05-30 12:10:22] RUNNING | model=SuTraN_NDA | log=BPIC15_2
[2026-05-30 12:10:22] RUNNING | model=CRTP_LSTM_NDA | log=BPIC15_2
[2026-05-30 12:10:22] RUNNING | model=BEST | log=BPIC15_2
[2026-05-30 12:10:22] RUNNING | model=ED_LSTM | log=BPIC15_2
[2026-05-30 12:10:22] RUNNING | model=SEP_LSTM | log=BPIC15_2
[2026-05-30 12:10:22] RUNNING | model=CRTP_LSTM_NDA | log=BPIC15_3
[2026-05-30 12:10:22] RUNNING | model=SuTraN_NDA | log=BPIC15_3
[2026-05-30 12:10:22] RUNNING | model=ED_LSTM | log=BPIC15_3
[2026-05-30 12:10:22] RUNNING | model=BEST | log=BPIC15_3
[2026-05-30 12:10:22] RUNNING | model=SEP_LSTM | log=BPIC15_3
[2026-05-30 12:10:22] RUNNING | model=SuTraN_NDA | log=BPIC15_4
[2026-05-30 12:10:22] RUNNING | model=CRTP_LSTM_NDA | log=BPIC15_4
[2026-05-30 12:10:22] RUNNING | model=ED_LSTM | log=BPIC15_4
[2026-05-30 12:10:22] RUNNING | model=SEP_LSTM | log=BPIC15_4
[2026-05-30 12:10:22] RUNNING | model=BEST | log=BPIC15_4
[2026-05-30 12:10:22] RUNNING | model=SuTraN_NDA | log=BPIC15_5
[2026-05-30 12:10:22] RUNNING | model=CRTP_LSTM_NDA | log=BPIC15_5
[2026-05-30 12:10:22] RUNNING | model=ED_LSTM | log=BPIC15_5
[2026-05-30 12:10:22] RUNNING | model=BEST | log=BPIC15_5
[2026-05-30 12:10:22] RUNNING | model=SEP_LSTM | log=BPIC15_5
[2026-05-30 12:10:22] RUNNING | model=SuTraN_NDA | log=RequestForPayment
[2026-05-30 12:10:22] RUNNING | model=BEST | log=RequestForPayment
[2026-05-30 12:10:22] RUNNING | model=CRTP_LSTM_NDA | log=RequestForPayment
[2026-05-30 12:10:22] RUNNING | model=ED_LSTM | log=RequestForPayment
[2026-05-30 12:10:22] RUNNING | model=SEP_LSTM | log=RequestForPayment
[2026-05-30 12:10:42] DONE | model=BEST | log=RequestForPayment
[2026-05-30 12:10:42] RUNNING | model=SuTraN_NDA | log=Sepsis
[2026-05-30 12:23:30] DONE | model=BEST | log=BPIC15_4
[2026-05-30 12:23:30] RUNNING | model=CRTP_LSTM_NDA | log=Sepsis
[2026-05-30 12:33:09] DONE | model=BEST | log=BPIC15_1
[2026-05-30 12:33:09] RUNNING | model=ED_LSTM | log=Sepsis
[2026-05-30 12:39:23] DONE | model=BEST | log=BPIC15_2
[2026-05-30 12:39:23] RUNNING | model=SEP_LSTM | log=Sepsis
[2026-05-30 12:41:53] DONE | model=BEST | log=BPIC15_3
[2026-05-30 12:41:53] RUNNING | model=BEST | log=Sepsis
[2026-05-30 12:42:18] DONE | model=BEST | log=Sepsis
[2026-05-30 12:42:18] RUNNING | model=SuTraN_NDA | log=DomesticDeclarations
[2026-05-30 12:50:41] DONE | model=BEST | log=BPIC15_5
[2026-05-30 12:50:41] RUNNING | model=CRTP_LSTM_NDA | log=DomesticDeclarations
[2026-05-30 12:50:51] DONE | model=CRTP_LSTM_NDA | log=Sepsis
[2026-05-30 12:50:51] RUNNING | model=ED_LSTM | log=DomesticDeclarations
[2026-05-30 12:56:00] DONE | model=SEP_LSTM | log=Sepsis
[2026-05-30 12:56:00] RUNNING | model=SEP_LSTM | log=DomesticDeclarations
[2026-05-30 13:01:34] DONE | model=SEP_LSTM | log=RequestForPayment
[2026-05-30 13:01:34] RUNNING | model=BEST | log=DomesticDeclarations
[2026-05-30 13:01:54] DONE | model=BEST | log=DomesticDeclarations
[2026-05-30 13:01:54] RUNNING | model=SuTraN_NDA | log=PrepaidTravelCost
[2026-05-30 13:07:18] DONE | model=ED_LSTM | log=Sepsis
[2026-05-30 13:07:18] RUNNING | model=CRTP_LSTM_NDA | log=PrepaidTravelCost
[2026-05-30 13:12:54] DONE | model=SEP_LSTM | log=BPIC15_4
[2026-05-30 13:12:54] RUNNING | model=ED_LSTM | log=PrepaidTravelCost
[2026-05-30 13:14:01] DONE | model=SEP_LSTM | log=BPIC15_2
[2026-05-30 13:14:01] RUNNING | model=SEP_LSTM | log=PrepaidTravelCost
[2026-05-30 13:27:14] DONE | model=ED_LSTM | log=RequestForPayment
[2026-05-30 13:27:14] RUNNING | model=BEST | log=PrepaidTravelCost
[2026-05-30 13:27:26] DONE | model=BEST | log=PrepaidTravelCost
[2026-05-30 13:27:26] RUNNING | model=SuTraN_NDA | log=InternationalDeclarations
[2026-05-30 13:29:36] DONE | model=SEP_LSTM | log=BPIC15_1
[2026-05-30 13:29:36] RUNNING | model=CRTP_LSTM_NDA | log=InternationalDeclarations
[2026-05-30 13:31:21] DONE | model=SuTraN_NDA | log=RequestForPayment
[2026-05-30 13:31:21] RUNNING | model=ED_LSTM | log=InternationalDeclarations
[2026-05-30 13:35:08] DONE | model=SEP_LSTM | log=PrepaidTravelCost
[2026-05-30 13:35:08] RUNNING | model=SEP_LSTM | log=InternationalDeclarations
