[2026-06-30 20:20:13] RUNNING | model=SuTraN_NDA | log=BPIC15_1
[2026-06-30 20:20:13] RUNNING | model=ED_LSTM | log=BPIC15_1
[2026-06-30 20:20:13] RUNNING | model=SEP_LSTM | log=BPIC15_1
[2026-06-30 20:20:13] RUNNING | model=CRTP_LSTM_NDA | log=BPIC15_1
[2026-06-30 20:20:13] RUNNING | model=BEST | log=BPIC15_1
[2026-06-30 20:20:13] RUNNING | model=SuTraN_NDA | log=BPIC15_2
[2026-06-30 20:20:13] RUNNING | model=ED_LSTM | log=BPIC15_2
[2026-06-30 20:20:13] RUNNING | model=CRTP_LSTM_NDA | log=BPIC15_2
[2026-06-30 20:20:13] RUNNING | model=SEP_LSTM | log=BPIC15_2
[2026-06-30 20:20:13] RUNNING | model=BEST | log=BPIC15_2
[2026-06-30 20:20:13] RUNNING | model=SuTraN_NDA | log=BPIC15_3
[2026-06-30 20:20:13] RUNNING | model=ED_LSTM | log=BPIC15_3
[2026-06-30 20:20:13] RUNNING | model=CRTP_LSTM_NDA | log=BPIC15_3
[2026-06-30 20:20:13] RUNNING | model=BEST | log=BPIC15_3
[2026-06-30 20:20:13] RUNNING | model=SEP_LSTM | log=BPIC15_3
[2026-06-30 20:20:13] RUNNING | model=SuTraN_NDA | log=BPIC15_4
[2026-06-30 20:20:13] RUNNING | model=CRTP_LSTM_NDA | log=BPIC15_4
[2026-06-30 20:20:13] RUNNING | model=BEST | log=BPIC15_4
[2026-06-30 20:20:13] RUNNING | model=ED_LSTM | log=BPIC15_4
[2026-06-30 20:20:13] RUNNING | model=SEP_LSTM | log=BPIC15_4
[2026-06-30 20:32:10] DONE | model=BEST | log=BPIC15_4
[2026-06-30 20:32:10] RUNNING | model=SuTraN_NDA | log=BPIC15_5
[2026-06-30 20:41:35] DONE | model=BEST | log=BPIC15_1
[2026-06-30 20:41:35] RUNNING | model=CRTP_LSTM_NDA | log=BPIC15_5
[2026-06-30 20:45:20] DONE | model=BEST | log=BPIC15_2
[2026-06-30 20:45:20] RUNNING | model=ED_LSTM | log=BPIC15_5
[2026-06-30 20:46:17] DONE | model=BEST | log=BPIC15_3
[2026-06-30 20:46:17] RUNNING | model=SEP_LSTM | log=BPIC15_5
[2026-06-30 21:01:35] DONE | model=SEP_LSTM | log=BPIC15_4
[2026-06-30 21:01:35] RUNNING | model=BEST | log=BPIC15_5
[2026-06-30 21:07:43] DONE | model=SEP_LSTM | log=BPIC15_2
[2026-06-30 21:07:43] RUNNING | model=SuTraN_NDA | log=Sepsis
[2026-06-30 21:12:02] DONE | model=SEP_LSTM | log=BPIC15_1
[2026-06-30 21:12:02] RUNNING | model=CRTP_LSTM_NDA | log=Sepsis
[2026-06-30 21:22:20] DONE | model=CRTP_LSTM_NDA | log=BPIC15_4
[2026-06-30 21:22:20] RUNNING | model=ED_LSTM | log=Sepsis
[2026-06-30 21:29:35] DONE | model=CRTP_LSTM_NDA | log=Sepsis
[2026-06-30 21:29:35] RUNNING | model=SEP_LSTM | log=Sepsis
[2026-06-30 21:31:58] DONE | model=SEP_LSTM | log=BPIC15_3
[2026-06-30 21:31:58] RUNNING | model=BEST | log=Sepsis
[2026-06-30 21:32:17] DONE | model=BEST | log=Sepsis
[2026-06-30 21:32:17] RUNNING | model=SuTraN_NDA | log=BPI_Challenge_2012_A
[2026-06-30 21:38:42] DONE | model=SEP_LSTM | log=Sepsis
[2026-06-30 21:38:42] RUNNING | model=CRTP_LSTM_NDA | log=BPI_Challenge_2012_A
[2026-06-30 21:40:13] DONE | model=BEST | log=BPIC15_5
[2026-06-30 21:40:13] RUNNING | model=ED_LSTM | log=BPI_Challenge_2012_A
[2026-06-30 21:41:14] DONE | model=CRTP_LSTM_NDA | log=BPIC15_1
[2026-06-30 21:41:14] RUNNING | model=SEP_LSTM | log=BPI_Challenge_2012_A
[2026-06-30 21:41:16] DONE | model=ED_LSTM | log=Sepsis
[2026-06-30 21:41:16] RUNNING | model=BEST | log=BPI_Challenge_2012_A
[2026-06-30 21:41:33] DONE | model=BEST | log=BPI_Challenge_2012_A
[2026-06-30 21:41:33] RUNNING | model=SuTraN_NDA | log=BPI_Challenge_2012_O
[2026-06-30 21:43:54] DONE | model=ED_LSTM | log=BPIC15_2
[2026-06-30 21:43:54] RUNNING | model=CRTP_LSTM_NDA | log=BPI_Challenge_2012_O
[2026-06-30 21:47:46] DONE | model=CRTP_LSTM_NDA | log=BPIC15_2
[2026-06-30 21:47:46] RUNNING | model=ED_LSTM | log=BPI_Challenge_2012_O
[2026-06-30 21:51:20] DONE | model=CRTP_LSTM_NDA | log=BPIC15_3
[2026-06-30 21:51:20] RUNNING | model=SEP_LSTM | log=BPI_Challenge_2012_O
[2026-06-30 22:04:02] DONE | model=SEP_LSTM | log=BPIC15_5
[2026-06-30 22:04:02] RUNNING | model=BEST | log=BPI_Challenge_2012_O
[2026-06-30 22:04:15] DONE | model=BEST | log=BPI_Challenge_2012_O
[2026-06-30 22:06:23] DONE | model=ED_LSTM | log=BPIC15_4
[2026-06-30 22:24:39] DONE | model=CRTP_LSTM_NDA | log=BPI_Challenge_2012_O
[2026-06-30 22:25:43] DONE | model=SEP_LSTM | log=BPI_Challenge_2012_O
[2026-06-30 22:32:13] DONE | model=CRTP_LSTM_NDA | log=BPIC15_5
[2026-06-30 22:35:18] DONE | model=ED_LSTM | log=BPI_Challenge_2012_O
[2026-06-30 22:36:38] DONE | model=ED_LSTM | log=BPI_Challenge_2012_A
[2026-06-30 22:36:39] DONE | model=SuTraN_NDA | log=Sepsis
[2026-06-30 22:41:38] DONE | model=SEP_LSTM | log=BPI_Challenge_2012_A
[2026-06-30 22:43:59] DONE | model=CRTP_LSTM_NDA | log=BPI_Challenge_2012_A
[2026-06-30 22:46:30] DONE | model=SuTraN_NDA | log=BPI_Challenge_2012_O
[2026-06-30 22:50:28] DONE | model=SuTraN_NDA | log=BPI_Challenge_2012_A
[2026-06-30 22:56:31] DONE | model=ED_LSTM | log=BPIC15_1
[2026-06-30 23:08:58] DONE | model=ED_LSTM | log=BPIC15_5
[2026-06-30 23:17:18] DONE | model=ED_LSTM | log=BPIC15_3
[2026-06-30 23:22:54] DONE | model=SuTraN_NDA | log=BPIC15_4
[2026-07-01 04:58:01] DONE | model=SuTraN_NDA | log=BPIC15_1
[2026-07-01 05:33:02] DONE | model=SuTraN_NDA | log=BPIC15_2
[2026-07-01 05:49:14] DONE | model=SuTraN_NDA | log=BPIC15_3
[2026-07-01 06:20:39] DONE | model=SuTraN_NDA | log=BPIC15_5
