log,n_train,train_pairs,n_val,val_pairs,n_test,test_pairs,error
Sepsis,599,8025,150,1904,285,4057,
PrepaidTravelCost,1151,9796,288,2484,632,5513,
BPI_Challenge_2012_O,2635,15852,659,3999,1667,10235,
RequestForPayment,4205,21727,1052,5723,1558,8489,
BPI_Challenge_2012_A,7718,36026,1930,7917,3439,16906,
DomesticDeclarations,6442,33223,1611,8850,2325,12877,
BPIC15_4,617,26627,155,7988,266,11335,
BPIC15_2,480,24702,121,6958,218,11243,
BPIC15_1,709,28587,178,8698,295,13412,
InternationalDeclarations,3128,32129,782,9144,2473,29423,
BPI_Challenge_2012_W,5439,88975,1360,15700,2714,53068,
BPIC15_3,849,34457,213,9571,327,13825,
BPIC15_5,693,34299,174,9386,271,13494,
Hospital_Billing,53675,246658,13419,51566,31713,135281,
Road_Traffic_Fine_Management_Process,87909,336472,21978,64887,39194,149059,
